song,artist,genre,mood
Messy,Lola Young,Unknown,Happy
APT.,ROSÉ,k-pop,Happy
That’s So True,Gracie Abrams,Unknown,Happy
Die With A Smile,Lady Gaga,art pop,Happy
The Days - NOTION Remix,Chrystal,Unknown,Happy
BIRDS OF A FEATHER,Billie Eilish,Unknown,Happy
"Good Luck, Babe!",Chappell Roan,Unknown,Happy
Sailor Song,Gigi Perez,Unknown,Happy
Pink Pony Club,Chappell Roan,Unknown,Happy
Beautiful Things,Benson Boone,Unknown,Happy
Espresso,Sabrina Carpenter,Unknown,Happy
Taste,Sabrina Carpenter,Unknown,Happy
Lose Control,Teddy Swims,Unknown,Happy
Not Like Us,Kendrick Lamar,hip hop,Happy
The Door,Teddy Swims,Unknown,Happy
Bad Dreams,Teddy Swims,Unknown,Happy
Ordinary,Alex Warren,Unknown,Happy
A Bar Song (Tipsy),Shaboozey,Unknown,Happy
Nice To Meet You,Myles Smith,Unknown,Happy
Please Please Please,Sabrina Carpenter,Unknown,Happy
Too Sweet,Hozier,Unknown,Happy
Stargazing,Myles Smith,Unknown,Happy
Stick Season,Noah Kahan,Unknown,Happy
Bed Chem,Sabrina Carpenter,Unknown,Happy
luther (with sza),Kendrick Lamar,hip hop,Happy
"I Love You, I'm Sorry",Gracie Abrams,Unknown,Happy
Abracadabra,Lady Gaga,art pop,Happy
Sports car,Tate McRae,Unknown,Happy
Somedays,Sonny Fodera,house,Happy
